Dicofre|HOUR|Hourly Average Traffic
"010402"|8|220.821534
"010402"|9|220.821534
"010402"|13|241.969685
"010402"|14|263.117835
"010402"|15|263.117835
"010407"|7|13.979356
"010407"|8|22.811816
"010407"|9|15.419363
"010407"|10|15.141658
"010407"|11|15.955877
"010407"|12|15.363718
"010407"|13|9.333785
"010407"|14|8.373260
"010407"|15|10.554680
"010407"|16|10.140723
"010407"|17|4.435992
"010407"|18|8.181016
"010407"|19|18.149778
"010407"|20|5.507633
"010409"|5|1.390882
"010409"|7|5.179344
"010409"|8|8.981193
"010409"|9|27.176301
"010409"|10|39.570487
"010409"|11|3.029586
"010409"|12|9.522291
"010409"|13|7.681998
"010409"|14|10.203177
"010409"|15|12.161309
"010409"|16|4.693197
"010409"|17|2.096831
"010409"|18|2.175754
"010409"|19|8.518240
"010409"|20|13.286312
"010411"|5|1.851478
"010411"|7|5.904840
"010411"|10|19.584614
"010411"|11|4.346664
"010411"|12|13.225997
"010411"|13|16.639970
"010411"|14|5.046143
"010411"|15|2.053898
"010411"|16|2.771286
"010411"|17|2.693051
"010411"|19|1.801442
"010411"|20|2.629584
"010413"|7|6.961412
"010413"|8|10.604590
"010413"|9|7.698745
"010413"|10|6.380084
"010413"|11|5.079992
"010413"|12|3.013049
"010413"|13|5.476749
"010413"|14|8.606524
"010413"|16|2.941315
"010413"|17|2.899815
"010413"|18|3.590568
"010413"|19|9.038274
"010413"|20|3.382033
"010413"|21|3.678092
"010414"|10|11.848768
"010414"|18|17.023290
"010414"|19|17.023290
"010415"|7|4.091876
"010415"|8|11.983442
"010415"|9|13.883475
"010415"|10|10.234580
"010415"|11|15.096472
"010415"|12|16.912396
"010415"|13|8.785551
"010415"|14|7.961009
"010415"|15|3.543602
"010415"|16|8.391205
"010415"|18|5.073481
"010415"|19|7.288389
"010415"|20|6.202745
"010415"|21|5.900154
"010416"|7|8.715373
"010416"|8|16.186166
"010416"|9|15.869748
"010416"|10|9.731116
"010416"|11|14.353920
"010416"|12|4.595636
"010416"|13|7.221082
"010416"|14|7.569419
"010416"|16|3.927788
"010416"|18|8.065638
"010416"|19|8.309054
"010416"|20|5.897646
"010417"|7|8.231186
"010417"|10|3.830450
"010417"|15|3.439575
"010417"|16|4.403655
"010417"|17|4.310272
"010417"|20|4.403655
"010418"|7|9.158313
"010418"|8|9.783387
"010418"|9|7.831275
"010418"|10|6.616604
"010418"|11|5.268357
"010418"|12|3.124752
"010418"|13|5.679803
"010418"|14|5.146813
"010418"|16|2.670657
"010418"|17|2.290986
"010418"|18|3.723681
"010418"|19|9.373406
"010418"|20|2.639423
"010418"|21|3.814453
"010419"|7|12.527869
"010419"|8|13.164090
"010419"|9|12.375083
"010419"|10|9.122587
"010419"|11|13.456242
"010419"|12|4.308246
"010419"|13|7.831004
"010419"|14|7.096115
"010419"|15|3.158669
"010419"|16|9.116427
"010419"|18|4.522300
"010419"|19|7.789425
"010419"|20|5.528881
"010420"|7|10.915057
"010420"|8|8.895686
"010420"|9|12.426657
"010420"|10|7.783996
"010420"|11|11.481851
"010420"|12|3.464740
"010420"|13|6.681947
"010420"|14|6.054870
"010420"|16|2.695198
"010420"|18|3.858702
"010420"|19|6.646534
"010420"|20|4.717633
"010420"|21|4.487402
"010421"|7|13.164494
"010421"|8|23.716122
"010421"|9|29.849809
"010421"|10|29.684880
"010421"|11|17.994156
"010421"|12|6.941721
"010421"|13|18.743682
"010421"|14|13.360483
"010421"|15|7.001914
"010421"|16|15.390198
"010421"|17|7.020935
"010421"|18|23.525430
"010421"|19|10.186375
"010421"|20|12.964171
"010421"|21|6.301025
"010421"|22|4.927416
"010422"|10|4.288296
"010422"|11|13.494643
"010422"|16|16.016270
"010422"|17|2.258106
"010422"|18|6.161012
"010422"|19|6.161012
"010423"|8|14.196742
"010423"|10|30.325839
"010423"|11|234.738011
"010423"|12|55.498257
"010423"|13|31.075963
"010423"|14|49.497264
"010423"|15|16.916299
"010423"|17|43.115979
"010424"|16|46.395803
"010702"|0|52.281945
"010702"|1|35.383708
"010702"|2|16.849846
"010702"|3|22.579374
"010702"|7|28.150824
"010702"|8|85.946149
"010702"|9|184.548231
"010702"|10|74.638718
"010702"|11|88.459269
"010702"|12|132.627608
"010702"|13|83.339471
"010702"|14|120.987891
"010702"|15|123.930081
"010702"|16|215.083132
"010702"|17|151.361488
"010702"|18|382.197596
"010702"|19|451.597152
"010702"|20|303.806941
"010702"|21|256.957724
"010702"|22|261.693618
"010702"|23|153.668139
"010704"|0|28.591728
"010704"|1|107.451154
"010704"|2|15.746003
"010704"|3|21.101243
"010704"|5|640.482108
"010704"|6|108.204770
"010704"|7|384.267950
"010704"|8|127.456229
"010704"|9|290.564576
"010704"|10|138.326566
"010704"|11|123.612027
"010704"|12|73.515605
"010704"|13|86.190053
"010704"|14|122.458766
"010704"|15|247.855873
"010704"|16|89.470946
"010704"|17|198.155289
"010704"|18|323.274548
"010704"|19|220.508753
"010704"|20|170.644506
"010704"|21|99.096675
"010704"|22|146.882770
"010704"|23|42.286222
"010705"|0|32.897731
"010705"|1|96.764336
"010705"|2|17.834785
"010705"|3|19.002815
"010705"|5|609.433149
"010705"|6|101.265003
"010705"|7|346.744230
"010705"|8|120.367833
"010705"|9|290.271577
"010705"|10|139.195623
"010705"|11|134.462779
"010705"|12|75.861239
"010705"|13|79.886836
"010705"|14|109.051871
"010705"|15|211.545628
"010705"|16|79.829684
"010705"|17|175.568869
"010705"|18|303.755718
"010705"|19|220.236201
"010705"|20|153.265564
"010705"|21|97.518019
"010705"|22|120.692881
"010705"|23|36.501837
"010706"|0|46.876782
"010706"|1|125.089398
"010706"|2|60.652868
"010706"|3|25.844445
"010706"|5|853.774505
"010706"|6|156.253825
"010706"|7|478.957048
