ParishCode,Parish,MF,M,F,MedianRent_per_m2,Area(Km2),Average_monthly_rental_charges
110601,Ajuda,137,70,67,11.7,2.88,271.61
110602,Alcântara,182,94,88,10.98,5.07,308.09
110654,Alvalade,356,179,177,11.1,2.48,381.83
110655,Areeiro,211,106,105,10.91,8.02,410.26
110656,Arroios,379,192,187,10.94,2.77,372.8
110657,Avenidas Novas,271,135,136,11.85,3.69,421.45
110607,Beato,117,53,64,10.64,6.57,255.74
110658,Belém,173,91,82,11.21,7.12,431.9
110608,Benfica,293,143,150,10.83,8.09,324.95
110659,Campo de Ourique,241,124,117,12.3,4.29,344.07
110610,Campolide,166,79,87,12.1,5.34,325.87
110611,Carnide,162,73,89,11.54,1.72,317.42
110660,Estrela,245,123,122,12.17,2.13,376.04
110618,Lumiar,482,232,250,10.24,2.99,428.16
110621,Marvila,320,175,145,10,10.43,212.79
110661,Misericórdia,108,47,61,13.4,1.65,321.15
110633,Olivais,258,128,130,10.81,4.6,330.69
110662,Parque das Nações,182,92,90,12.93,2.19,496.87
110663,Penha de França,352,165,187,11.11,5.44,330.75
110664,Santa Clara,316,150,166,7.95,2.71,280.87
110665,Santa Maria Maior,152,76,76,12.92,3.36,273.2
110666,Santo António,115,63,52,13.83,3.01,386.26
110639,São Domingos de Benfica,326,167,159,11.57,1.49,412.61
110667,São Vicente,153,84,69,11.76,1.99,285.35
131202,Bonfim,178,91,87,9.8,3.1,273.24
131203,Campanhã,302,136,166,7.87,8.04,186.95
131210,Paranhos,374,198,176,8.17,7.17,279.29
131211,Ramalde,310,144,166,8.37,5.83,303.52
131216,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",244,118,126,9.03,6.27,387.96
131217,"União das freguesias de Cedofeita,  Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",305,157,148,9.13,5.43,263.75
131218,União das freguesias de Lordelo do Ouro e Massarelos,217,113,104,9.22,5.59,305.1
