parish_name,parish_id,percentage_daily_car_usage
Aldoar,131201,62.12
Bonfim,131202,41.42
Campanhã,131203,40.50
Cedofeita,131204,45.53
Foz do Douro,131205,74.23
Lordelo do Ouro,131206,57.49
Massarelos,131207,47.36
Miragaia,131208,29.09
Nevogilde,131209,81.52
Paranhos,131210,51.81
Ramalde,131211,58.97
Santo Ildefonso,131212,29.77
São Nicolau,131213,25.78
Sé,131214,27.83
Vitória,131215,25.16
Ajuda,110601,45.67
Alcântara,110602,42.43
Alto do Pina,110603,47.79
Alvalade,110604,49.87
Ameixoeira,110605,47.50
Anjos,110606,31.02
Beato,110607,39.94
Benfica,110608,50.61
Campo Grande,110609,51.34
Campolide,110610,43.35
Carnide,110611,59.54
Castelo,110612,31.25
Charneca,110613,43.14
Coração de Jesus,110614,34.90
Encarnação,110615,29.92
Graça,110616,35.39
Lapa,110617,50.39
Lumiar,110618,59.73
Madalena,110619,42.67
Mártires,110620,44.09
Marvila,110621,38.22
Mercês,110622,36.40
Nossa Senhora de Fátima,110623,50.63
Pena,110624,27.60
Penha de França,110625,37.66
Prazeres,110626,48.42
Sacramento,110627,26.70
Santa Catarina,110628,27.57
Santa Engrácia,110629,41.86
Santa Isabel,110630,40.95
Santa Justa,110631,15.78
Santa Maria de Belém,110632,62.18
Santa Maria dos Olivais,110633,53
Santiago,110634,35.54
Santo Condestável,110635,42.15
Santo Estêvão,110636,21.03
Santos-o-Velho,110637,38.02
São Cristóvão e São Lourenço,110638,27.53
São Domingos de Benfica,110639,59.27
São Francisco Xavier,110640,74.49
São João,110641,39.58
São João de Brito,110642,56.06
São João de Deus,110643,50.35
São Jorge de Arroios,110644,34.98
São José,110645,25.51
São Mamede,110646,47.83
São Miguel,110647,22.61
São Nicolau,110648,20.56
São Paulo,110649,26.45
São Sebastião da Pedreira,110650,50.70
São Vicente de Fora,110651,29.75
Sé,110652,44.16
Socorro,110653,12.86
