parish_name,parish_id,employed_or_student_res_population
Aldoar,131201,7556
Bonfim,131202,12592
Campanhã,131203,15883
Cedofeita,131204,12106
Foz do Douro,131205,6685
Lordelo do Ouro,131206,12855
Massarelos,131207,3964
Miragaia,131208,996
Nevogilde,131209,3310
Paranhos,131210,24113
Ramalde,131211,22781
Santo Ildefonso,131212,4472
São Nicolau,131213,871
Sé,131214,1547
Vitória,131215,810
Ajuda,110601,7827
Alcântara,110602,7676
Alto do Pina,110603,6353
Alvalade,110604,5120
Ameixoeira,110605,7254
Anjos,110606,5357
Beato,110607,6520
Benfica,110608,19914
Campo Grande,110609,6500
Campolide,110610,8706
Carnide,110611,15584
Castelo,110612,167
Charneca,110613,6064
Coração de Jesus,110614,2284
Encarnação,110615,1342
Graça,110616,3076
Lapa,110617,4890
Lumiar,110618,28655
Madalena,110619,254
Mártires,110620,245
Marvila,110621,21385
Mercês,110622,2470
Nossa Senhora de Fátima,110623,9339
Pena,110624,2544
Penha de França,110625,7383
Prazeres,110626,4954
Sacramento,110627,478
Santa Catarina,110628,2242
Santa Engrácia,110629,2929
Santa Isabel,110630,4204
Santa Justa,110631,496
Santa Maria de Belém,110632,4840
Santa Maria dos Olivais,110633,30034
Santiago,110634,317
Santo Condestável,110635,8597
Santo Estêvão,110636,778
Santos-o-Velho,110637,2444
São Cristóvão e São Lourenço,110638,688
São Domingos de Benfica,110639,21017
São Francisco Xavier,110640,5155
São João,110641,8176
São João de Brito,110642,6395
São João de Deus,110643,5830
São Jorge de Arroios,110644,10897
São José,110645,1602
São Mamede,110646,3402
São Miguel,110647,735
São Nicolau,110648,853
São Paulo,110649,1600
São Sebastião da Pedreira,110650,4096
São Vicente de Fora,110651,1912
Sé,110652,591
Socorro,110653,1617
